Neighborhood,Status,Summary,Address,Created at Local,Acknowledged at Local,Closed at Local,Time
U,Archived,P-WORKS: Cut Right-Of-Way,"Hortman Ave Macon, GA, 31204, USA",04/27/2020  10:33 AM,04/27/2020  10:33 AM,05/12/2020  05:06 PM,15.27291667
U,Archived,P-WORKS: Pot hole,"795 Lilly Ave Macon, GA, 31204, USA",05/06/2020  03:53 PM,05/06/2020  03:53 PM,05/07/2020  11:16 AM,0.807638889
U,Archived,P-WORKS: Pot hole,"Blue Bell St Macon, GA, 31204, USA",05/14/2020  04:56 PM,05/14/2020  04:56 PM,05/14/2020  04:57 PM,0.000694444
U,Archived,P-WORKS: Cut Right-Of-Way,"Daffodil St Macon, GA, 31204, USA",05/19/2020  10:50 AM,05/19/2020  10:50 AM,06/09/2020  11:15 AM,21.01736111
U,Archived,PROPERTY MAINT - Yards\Premises OR Vacant lot,"239 Blossom Ave Macon, GA, 31204, USA",05/20/2020  03:36 PM,05/28/2020  07:34 AM,06/02/2020  09:12 AM,12.73333333
U,Archived,ADS: Garbage Cart Replacement,"642 Poppy Ave Macon, GA, 31204, USA",05/21/2020  03:44 PM,05/28/2020  01:26 PM,06/12/2020  01:58 PM,21.92638889
U,Acknowledged,ADS: Garbage Cart Replacement,"620 Poppy Ave Macon, GA, 31204, USA",05/21/2020  03:44 PM,06/08/2020  03:33 PM, ,#VALUE!
U,Acknowledged,ADS: Garbage Cart Replacement,"803 Grosso Ave Macon, GA, 31204, USA",05/26/2020  09:08 AM,06/09/2020  12:03 PM, ,#VALUE!
U,Archived,ADS: Garbage Cart,"2845 Columbus Rd Macon, GA, 31204, USA",05/28/2020  10:44 AM,05/28/2020  02:26 PM,05/28/2020  02:27 PM,0.154861111
V,Archived,P-WORKS: Cut Right-Of-Way,"2449 Vineville Ave Macon, GA, 31204, USA",05/29/2020  08:04 PM,06/01/2020  11:32 AM,06/02/2020  09:50 AM,3.573611111
U,Archived,S-WASTE: Illegal dumping,"Sapp St Macon, GA, 31204, USA",06/01/2020  10:49 AM,08/17/2020  01:35 PM,08/24/2020  02:02 PM,84.13402778
U,Archived,P-WORKS: Cut Right-Of-Way,"Sapp St Macon, GA, 31204, USA",06/01/2020  10:52 AM,06/01/2020  10:53 AM,06/08/2020  05:06 PM,7.259722222
U,Archived,P-WORKS: Litter,"Sapp St Macon, GA, 31204, USA",06/01/2020  10:54 AM,06/01/2020  10:54 AM,06/02/2020  05:05 PM,1.257638889
U,Archived,P-WORKS: Alley - needs cleaning,"Pansy Ave Macon, GA, 31204, USA",06/04/2020  11:03 AM,06/04/2020  11:03 AM,06/18/2020  01:34 PM,14.10486111
U,Open,ADS: Service Complaint,"346 Hortman Ave Macon, GA, 31204, USA",06/05/2020  11:50 AM, , ,#VALUE!
U,Archived,P-WORKS: Clean Macon Bibb Owned Property,"Pansy Ave Macon, GA, 31204, USA",06/09/2020  03:53 PM,06/09/2020  03:54 PM,06/25/2020  06:45 AM,15.61944444
U,Archived,P-WORKS: Litter,"Daffodil St Macon, GA, 31204, USA",06/17/2020  07:51 AM,06/17/2020  07:51 AM,06/17/2020  07:51 AM,0
U,Archived,TRAFFIC ENG: Signal Timing,"3090 Mercer University Dr Macon, GA, 31204, USA",06/17/2020  09:14 PM, ,09/16/2020  08:54 PM,90.98611111
U,Archived,S-WASTE: Illegal dumping,"439 Grosso Ave Macon, GA, 31204, USA",06/18/2020  02:20 PM, ,07/06/2020  11:08 AM,17.86666667
U,Archived,P-WORKS: Pot hole,"Anthony Rd & Pio Nono Ave Macon, GA, 31206, USA",06/22/2020  02:25 PM,06/22/2020  02:25 PM,06/23/2020  10:04 AM,0.81875
U,Archived,S-WASTE: Illegal dumping,"Pansy Ave Macon, GA, 31204, USA",06/22/2020  04:25 PM, ,07/01/2020  08:45 AM,8.680555556
U,Archived,PROPERTY MAINT - Burned House,"524 Grosso Ave Macon, GA, 31204, USA",06/23/2020  04:19 PM,06/26/2020  12:11 PM,09/29/2020  09:46 AM,97.72708333
U,Archived,P-WORKS: Cut Right-Of-Way,"Pansy Ave & Anthony Rd Macon, GA, 31204, USA",06/24/2020  04:51 PM,06/24/2020  04:52 PM,06/29/2020  01:58 PM,4.879861111
U,Archived,P-WORKS: Right-of-Way,"751 Key St Macon GA 31204, United States",06/29/2020  01:18 PM,06/30/2020  07:03 AM,07/23/2020  04:06 PM,24.11666667
U,Archived,P-WORKS: Cut Right-Of-Way,"3021 Columbus Rd Macon GA 31204, United States",06/29/2020  01:32 PM,06/30/2020  07:03 AM,07/22/2020  04:41 PM,23.13125
U,Archived,S-WASTE: Illegal dumping,"3021 Columbus Rd Macon GA 31204, United States",06/29/2020  01:34 PM,09/16/2020  11:16 AM,09/16/2020  11:29 AM,78.91319444
U,Archived,P-WORKS: Cut Right-Of-Way,"576 Pansy Ave Macon GA 31204, United States",06/29/2020  01:43 PM,06/30/2020  07:03 AM,08/24/2020  06:31 AM,55.7
U,Archived,S-WASTE: Illegal dumping,"377 Straight St Macon GA 31204, United States",06/29/2020  01:45 PM,09/16/2020  11:16 AM,09/16/2020  11:16 AM,78.89652778
U,Archived,PROPERTY MAINT - Abandoned/ Inoperable/Junk Cars or Vehicles,"122 May Ave Macon, GA, 31204, USA",07/01/2020  12:02 AM,07/16/2020  08:37 AM,08/03/2020  08:08 AM,33.3375
U,Archived,PROPERTY MAINT - Abandoned/ Inoperable/Junk Cars or Vehicles,"Dora St Macon, GA, 31204, USA",07/01/2020  12:08 AM,07/16/2020  08:31 AM,08/03/2020  08:07 AM,33.33263889
U,Archived,ADS: Garbage Missed Pick-up,"3056 Columbus Rd Macon, GA, 31204, USA",07/03/2020  09:23 AM,07/06/2020  10:44 AM,08/13/2020  03:39 PM,41.26111111
U,Acknowledged,ADS: Garbage Cart,"823 Edwards Ave Macon, GA, 31204, USA",07/13/2020  10:40 AM,07/29/2020  03:31 PM, ,#VALUE!
U,Archived,ADS: Recycling Cart,"823 Edwards Ave Macon, GA, 31204, USA",07/13/2020  10:41 AM,07/13/2020  09:31 PM,07/25/2020  02:24 PM,12.15486111
U,Archived,ADS: Garbage Missed Pick-up,"385 Albert Ln Macon, GA, 31204, USA",07/17/2020  11:33 AM,07/17/2020  04:22 PM,08/13/2020  03:29 PM,27.16388889
U,Archived,P-WORKS: Litter,"336 Albert Ln Macon, GA, 31204, USA",07/20/2020  04:32 PM,07/20/2020  05:16 PM,07/21/2020  09:25 AM,0.703472222
U,Archived,ADS: Garbage Missed Pick-up,"146 Moseley Ave Macon, GA, 31204, USA",07/23/2020  01:43 PM,07/24/2020  02:15 PM,08/25/2020  03:11 PM,33.06111111
U,Archived,ADS: Garbage Missed Pick-up,"3056 Columbus Rd Macon GA 31204, United States",07/30/2020  07:54 AM,07/30/2020  04:02 PM,08/28/2020  01:29 PM,29.23263889
U,Archived,P-WORKS: Cut Right-Of-Way,"Daffodil St Macon, GA, 31204, USA",08/05/2020  03:33 PM,08/05/2020  03:34 PM,08/05/2020  03:35 PM,0.001388889
U,Archived,P-WORKS: Cut Right-Of-Way,"Pansy Ave Macon, GA, 31204, USA",08/05/2020  03:37 PM,08/05/2020  03:37 PM,08/05/2020  03:38 PM,0.000694444
U,Archived,P-WORKS: Cut Right-Of-Way,"Mercer University Dr Macon, GA, 31204, USA",08/05/2020  03:40 PM,08/05/2020  03:41 PM,08/05/2020  03:41 PM,0.000694444
U,Archived,PROPERTY MAINT - Yards\Premises OR Vacant lot,"774 Edwards Ave Macon GA 31204, United States",08/13/2020  03:22 PM,08/14/2020  06:26 AM,09/29/2020  09:32 AM,46.75694444
U,Archived,ADS: Garbage Missed Pick-up,"327 Hortman Ave Macon, GA, 31204, USA",08/20/2020  04:20 PM,08/24/2020  02:36 PM,10/28/2020  11:09 AM,68.78402778
U,Archived,ADS: Garbage Missed Pick-up,"368 Grosso Ave Macon, GA, 31204, USA",08/23/2020  06:26 AM,08/24/2020  05:07 PM,09/10/2020  06:46 AM,18.01388889
U,Archived,S-WASTE: Debris | Limbs | Yard Clippings | Bulky Waste,"368 Grosso Ave Macon, GA, 31204, USA",08/23/2020  06:30 AM,08/24/2020  09:10 AM,10/28/2020  11:14 AM,66.19722222
U,Archived,P-WORKS: Pot hole,"2201-2249 Pio Nono Ave Macon, GA, 31206, USA",08/23/2020  04:33 PM,08/24/2020  07:21 AM,08/24/2020  10:25 AM,0.744444444
U,Archived,P-WORKS: Pot hole,"2147-2199 Pio Nono Ave Macon, GA, 31206, USA",08/23/2020  04:40 PM,08/24/2020  07:21 AM,08/24/2020  10:24 AM,0.738888889
U,Archived,ADS: Garbage Cart,"549 Key St Macon, GA, 31204, USA",08/24/2020  02:36 PM,09/30/2020  12:57 PM,10/09/2020  02:06 PM,45.97916667
U,Archived,PROPERTY MAINT - Yards\Premises OR Vacant lot,"239 Blossom Ave Macon, GA, 31204, USA",08/25/2020  11:14 AM, ,08/31/2020  09:31 AM,5.928472222
U,Archived,ADS: Garbage Cart,"3065 Dempsey Ave Macon, GA, 31204, USA",08/28/2020  10:18 AM, ,09/28/2020  03:48 PM,31.22916667
U,Archived,ADS: Recycling Cart,"3065 Dempsey Ave Macon, GA, 31204, USA",08/28/2020  10:25 AM,09/28/2020  03:47 PM,09/28/2020  03:47 PM,31.22361111
U,Archived,P-WORKS: Cut Right-Of-Way,"Anthony Rd Macon, GA, 31206, USA",09/02/2020  03:47 PM,09/02/2020  03:47 PM,10/22/2020  08:19 AM,49.68888889
U,Archived,ADS: Garbage Cart Replacement,"717 Grayson Ave Macon, GA, 31204, USA",09/09/2020  01:13 PM,10/19/2020  12:42 PM,11/20/2020  08:53 AM,71.81944444
U,Archived,S-WASTE: Eviction Debris,"439 Grosso Ave Macon, GA, 31204, USA",09/18/2020  09:36 AM,09/21/2020  10:58 AM,10/23/2020  07:53 AM,34.92847222
U,Acknowledged,BEAUTIFICATION: Tree - Down,"327 Hortman Ave Macon, GA, 31204, USA",09/18/2020  08:04 PM,09/21/2020  11:31 AM, ,#VALUE!
U,Archived,ADS: Garbage Cart Replacement,"3060 Montpelier Pl Macon GA 31204, United States",09/21/2020  07:45 AM, ,10/29/2020  03:21 PM,38.31666667
U,Archived,ADS: Garbage Cart,"750 Lilly Ave Macon, GA, 31204, USA",09/23/2020  10:37 AM,10/22/2020  02:57 PM,11/24/2020  10:56 AM,62.01319444
U,Archived,S-WASTE: Eviction Debris,"750 Lilly Ave Macon, GA, 31204, USA",09/30/2020  01:52 PM,09/30/2020  04:47 PM,10/14/2020  07:08 AM,13.71944444
U,Archived,S-WASTE: Animal - Dead Pickup Request,"Montpelier Pl Macon, GA, 31204, USA",10/05/2020  09:28 AM,10/05/2020  10:28 AM,10/08/2020  08:30 AM,2.959722222
U,Archived,ADS: Garbage Cart,"460 Daffodil St Macon, GA, 31204, USA",10/16/2020  01:44 PM,11/03/2020  10:23 AM,11/09/2020  09:58 AM,23.84305556
U,Archived,S-WASTE: Illegal dumping,"666 Patton Ave Macon, GA, 31204, USA",10/26/2020  11:36 AM,10/26/2020  11:37 AM,04/13/2021  09:52 AM,168.9277778
U,Archived,S-WASTE: Illegal dumping,"439 Grosso Ave Macon, GA, 31204, USA",10/27/2020  08:50 PM,10/28/2020  08:59 AM,04/13/2021  10:13 AM,167.5576389
U,Archived,PROPERTY MAINT - Yards\Premises OR Vacant lot,"439 Grosso Ave Macon, GA, 31204, USA",10/27/2020  08:58 PM,10/29/2020  10:26 AM,10/29/2020  10:27 AM,1.561805556
U,Archived,PROPERTY MAINT - COMMERCIAL,"295 Grosso Ave Macon, GA, 31204, USA",10/27/2020  09:13 PM,10/29/2020  10:28 AM,10/29/2020  10:29 AM,1.552777778
U,Archived,PROPERTY MAINT - COMMERCIAL,"438 Grosso Ave Macon, GA, 31204, USA",10/27/2020  09:19 PM,10/29/2020  10:31 AM,10/29/2020  10:31 AM,1.55
U,Archived,S-WASTE: Illegal dumping,"1476 Helon St Macon, GA, 31204, USA",10/29/2020  01:54 PM,10/30/2020  03:44 PM,11/04/2020  07:12 AM,5.720833333
U,Archived,S-WASTE: Animal - Dead Pickup Request,"Anthony Rd Macon, GA, 31206, USA",11/05/2020  09:12 AM,11/05/2020  09:12 AM,11/06/2020  06:45 AM,0.897916667
U,Archived,S-WASTE: Eviction Debris,"619 Poppy Ave Macon, GA, 31204, USA",11/05/2020  11:01 AM,11/23/2020  03:37 PM,11/25/2020  08:13 AM,19.88333333
U,Archived,S-WASTE: Illegal dumping,"Edwards Ave Macon, GA, 31204, USA",11/10/2020  12:46 PM,11/10/2020  03:33 PM,04/13/2021  10:25 AM,153.9020833
U,Archived,P-WORKS: Pot hole,"Cedar Ave Macon, GA, 31204, USA",11/24/2020  06:48 AM,11/24/2020  06:48 AM,11/24/2020  06:48 AM,0
U,Archived,S-WASTE: Animal - Dead Pickup Request,"Montpelier Ave Macon, GA, 31204, USA",12/08/2020  09:52 AM,12/09/2020  08:39 AM,12/22/2020  03:56 PM,14.25277778
U,Archived,P-WORKS: Litter,"2227 Mercer University Dr Macon GA 31204, United States",12/09/2020  10:20 AM,12/09/2020  10:24 AM,12/09/2020  10:47 AM,0.01875
U,Archived,S-WASTE: Animal - Dead Pickup Request,"3091 Columbus Rd Macon GA 31204, United States",12/11/2020  07:35 AM,12/14/2020  10:00 AM,12/23/2020  02:41 PM,12.29583333
U,Archived,ADS: Garbage Cart,"2135 Cedar Ave Macon, GA, 31204, USA",12/16/2020  10:39 AM,12/18/2020  09:54 AM,12/26/2020  08:02 AM,9.890972222
U,Archived,ADS: Garbage Cart,"458 Daffodil St Macon, GA, 31204, USA",12/16/2020  11:50 AM,12/18/2020  09:53 AM,12/26/2020  07:55 AM,9.836805556
U,Archived,S-WASTE: Furniture/Appliances,"374 Grosso Ave Macon, GA, 31204, USA",12/17/2020  06:36 AM,12/17/2020  08:38 AM,04/14/2021  11:07 AM,118.1881944
U,Archived,S-WASTE: Illegal dumping,"439 Grosso Ave Macon, GA, 31204, USA",12/17/2020  06:42 AM,12/17/2020  08:38 AM,12/29/2020  01:50 PM,12.29722222
U,Archived,ADS: Garbage Missed Pick-up,"685 Lilly Ct Macon, GA, 31204, USA",12/31/2020  03:22 PM,01/04/2021  06:54 AM,01/29/2021  07:27 AM,28.67013889
U,Archived,S-WASTE: Furniture/Appliances,"374 Grosso Ave Macon, GA, 31204, USA",01/03/2021  07:31 PM,01/04/2021  10:17 AM,04/14/2021  11:08 AM,100.6506944
U,Archived,ADS: Garbage Cart,"2730 Mercer University Dr Macon, GA, 31204, USA",01/05/2021  10:38 AM,01/12/2021  11:17 AM,01/21/2021  10:45 AM,16.00486111
U,Archived,Public Works: Pot hole,"Edward Ave Macon, GA, 31204, USA",01/06/2021  01:44 PM,01/06/2021  01:45 PM,01/07/2021  04:43 PM,1.124305556
U,Archived,S-WASTE: Animal - Dead Pickup Request,"Anthony Rd Macon, GA, 31206, USA",01/11/2021  12:19 PM,01/11/2021  01:32 PM,01/14/2021  01:51 PM,3.063888889
U,Archived,ADS: Garbage Missed Pick-up,"215 May Ave Macon, GA, 31204, USA",01/14/2021  04:56 PM,01/19/2021  02:41 PM,01/29/2021  03:05 PM,14.92291667
U,Archived,ADS: Garbage Cart,"619 Poppy Ave Macon, GA, 31204, USA",01/15/2021  09:13 AM,01/19/2021  11:24 AM,01/22/2021  09:21 AM,7.005555556
U,Archived,ADS: Recycling Cart,"619 Poppy Ave Macon, GA, 31204, USA",01/15/2021  09:13 AM,01/22/2021  09:22 AM,02/02/2021  09:58 AM,18.03125
U,Archived,S-WASTE: Illegal dumping,"Pansy Ave Macon, GA, 31204, USA",01/21/2021  09:38 AM, ,01/21/2021  09:39 AM,0.000694444
U,Archived,RECREATION: Repairs,"377 Straight St Macon GA 31204, United States",01/21/2021  10:35 AM,01/21/2021  11:59 AM,03/31/2021  11:32 AM,69.03958333
U,Archived,Public Works: Litter,"Moseley Ave Macon, GA, 31204, USA",01/21/2021  02:15 PM,01/21/2021  02:15 PM,01/21/2021  02:15 PM,0
U,Archived,Public Works: Litter,"Straight St Macon, GA, 31204, USA",01/21/2021  02:16 PM,01/21/2021  02:17 PM,01/21/2021  02:17 PM,0.000694444
U,Archived,Public Works: Litter,"Pansy Ave Macon, GA, 31204, USA",01/21/2021  02:18 PM,01/21/2021  02:18 PM,01/21/2021  02:19 PM,0.000694444
U,Archived,Public Works: Litter,"Edwards Ave Macon, GA, 31204, USA",01/21/2021  02:19 PM,01/21/2021  02:19 PM,01/21/2021  02:20 PM,0.000694444
U,Acknowledged,S-WASTE: Illegal dumping,"469 Daffodil St Macon GA 31204, United States",01/22/2021  11:49 AM,01/27/2021  10:40 AM, ,#VALUE!
U,Acknowledged,S-WASTE: Illegal dumping,"478 Daffodil St Macon GA 31204, United States",01/22/2021  11:50 AM,01/27/2021  10:40 AM, ,#VALUE!
U,Acknowledged,Code Enforcement: Yards\Premises OR Vacant lot,"724 Pansy Ave Macon, GA, 31204, USA",01/24/2021  12:42 PM,01/25/2021  09:44 AM, ,#VALUE!
U,Archived,S-WASTE: Debris | Limbs | Yard Clippings | Bulky Waste,"2882 Columbus Rd Macon, GA 31204, USA",01/25/2021  05:16 PM,01/27/2021  10:37 AM,03/16/2021  11:05 AM,49.74236111
U,Acknowledged,Code Enforcement: Vacant\Abandoned\Dilapidated,"175 Grosso Ave Macon, GA, 31204, USA",01/26/2021  07:26 PM,01/27/2021  07:58 AM, ,#VALUE!
U,Archived,Code Enforcement: Vacant\Abandoned\Dilapidated,"2890 Elpis St Macon, GA, 31204, USA",01/26/2021  07:31 PM,01/27/2021  07:57 AM,02/11/2021  03:28 PM,15.83125
U,Archived,Code Enforcement: Abandoned/ Inoperable/Junk Cars or Vehicles,"2889 Elpis St Macon, GA, 31204, USA",01/26/2021  07:50 PM,01/27/2021  07:56 AM,02/11/2021  03:32 PM,15.82083333
U,Acknowledged,S-WASTE: Illegal dumping,"680 Patton Ave Macon, GA 31204, USA",02/01/2021  11:11 AM,02/01/2021  02:12 PM, ,#VALUE!
U,Acknowledged,S-WASTE: Illegal dumping,"430 Daffodil St Macon, GA, 31204, USA",02/04/2021  10:32 AM,02/04/2021  01:53 PM, ,#VALUE!
U,Archived,S-WASTE: Animal - Dead Pickup Request,"2350 Mercer University Dr Macon, GA, 31204, USA",02/09/2021  05:54 PM,02/10/2021  08:40 AM,02/11/2021  09:53 AM,1.665972222
U,Archived,RECREATION: Safety,"2261-2311 Mercer University Dr Macon, GA, 31204, USA",02/12/2021  06:56 PM, ,03/31/2021  11:33 AM,46.69236111
U,Archived,BEAUTIFICATION: Tree - Bent - Leaning,"Pansy Ave Macon, GA, 31204, USA",02/17/2021  03:15 PM,02/17/2021  03:15 PM,02/17/2021  03:16 PM,0.000694444
U,Acknowledged,ADS: Garbage Cart Replacement,"110 May Ave Macon, GA, 31204, USA",02/23/2021  10:25 AM,03/08/2021  10:41 AM, ,#VALUE!
U,Archived,Public Works: Litter,"1797 Anthony Rd Macon, GA, 31204, USA",02/23/2021  11:21 AM,02/23/2021  11:34 AM,03/04/2021  02:28 PM,9.129861111
U,Archived,Public Works: Pot hole,"Montpelier Ave Macon, GA, 31204, USA",02/23/2021  11:43 AM,02/23/2021  12:24 PM,02/23/2021  03:52 PM,0.172916667
U,Acknowledged,S-WASTE: Illegal dumping,"656 Key St Macon GA 31204, United States",02/26/2021  01:52 PM,03/01/2021  08:36 AM, ,#VALUE!
U,Open,ADS: Garbage Cart,"436 Moseley St Macon, GA, 31204, USA",03/08/2021  02:09 PM, , ,#VALUE!
U,Archived,Public Works: Litter,"Montpelier Ave & Grosso Ave Macon, GA, 31204, USA",03/09/2021  06:46 AM,03/09/2021  06:46 AM,03/09/2021  01:08 PM,0.265277778
U,Archived,Public Works: Pot hole,"39 Columbus St Macon, GA 31204, USA",03/12/2021  02:50 PM,03/15/2021  07:13 AM,03/16/2021  05:01 PM,4.090972222
U,Acknowledged,S-WASTE: Debris | Limbs | Yard Clippings | Bulky Waste,"475 Grosso Ave Macon, GA, 31204, USA",03/20/2021  08:14 PM,03/24/2021  08:57 AM, ,#VALUE!
U,Archived,Public Works: Litter,"1797 Anthony Rd Macon, GA, 31204, USA",03/25/2021  09:32 AM,03/25/2021  09:32 AM,03/25/2021  09:33 AM,0.000694444
U ,Acknowledged,Code Enforcement: Home Repair Exterior,"456 Grosso Ave Macon, GA, 31204, USA",01/26/2021  07:54 PM,01/27/2021  07:54 AM, ,#VALUE!
,Archived,P-WORKS: Pot hole,"Westover Dr & Burton Ave Macon, GA, 31204, USA",01/02/2020  11:05 AM,01/02/2020  11:05 AM,01/03/2020  01:29 PM,1.1
V,Archived,P-WORKS: Pot hole,"301-317 Pierce Ave Macon, GA, 31204, USA",01/02/2020  11:24 AM,01/02/2020  01:26 PM,01/06/2020  05:13 PM,4.242361111
V,Open,FACILITIES MGMT: Traffic Signals & Signs,"Ingleside Ave & Pierce Ave Macon, GA, 31204, USA",01/02/2020  12:39 PM, , ,#VALUE!
,Archived,P-WORKS: Pot hole,"1822 Forsyth St Macon 31201, United States",01/02/2020  03:29 PM,01/03/2020  07:46 AM,01/03/2020  12:54 PM,0.892361111
,Archived,P-WORKS: Pot hole,"Forsyth St Macon 31201, United States",01/02/2020  05:35 PM,01/03/2020  07:46 AM,01/03/2020  01:28 PM,0.828472222
V,Archived,P-WORKS: Pot hole,"301-399 Pio Nono Ave Macon, GA, 31204, USA",01/02/2020  05:42 PM,01/03/2020  05:53 AM,01/03/2020  05:54 AM,0.508333333
